url,pt_css_sel,pt_css_sel_attr,pt_css_sel_name,p_css_sel,p_css_sel_attr,p_css_sel_name,nt_css_sel,nt_css_sel_attr,nt_css_sel_name,n_css_sel,n_css_sel_attr,n_css_sel_name
https://www.zooplus.de/shop/hunde/hundespielzeug/hundeball/seil/1370,div,class,product__prices_col prices,span,class,price__amount,div,class,pd__title,h1,class,producttitle
https://www.otto.de/p/nike-sportswear-air-force-1-le-gs-sneaker-1229702164/#variationId=1229702854,div,class,prd_price__main js_prd_price__main,span,id,normalPriceAmount,div,class,prd_module prd_module--noLine prd_shortInfo,h1,class,js_shortInfo__variationName prd_shortInfo__variationName
https://www.zara.com/de/de/high-rise-jeans-%E2%80%93-sculpt-p08197051.html?v1=154067940&v2=2025799,div,class,product-detail-info__price-amount price,span,class,price-current__amount,div,class,product-detail-card-info__info-header-top-left,span,class,product-detail-card-info__name
https://www.zalando.de/levis-skate-511-slim-5-pocket-jeans-slim-fit-caviar-bull-denim-le222g0d9-q11.html,div,class,Bqz_1C,span,class,RYghuO uqkIZw ka2E9k uMhVZi FxZV-M pVrzNP,h1,class,RYghuO mt1kvu ka2E9k uMhVZi FxZV-M pVrzNP _9YcI4f _2MyPg2,span,class,EKabf7 R_QwOV
https://www.witt-weiden.de/p/41543,div,class,src__Box-sc-1sbtrzs-0 sc-6372957b-2 kiJKPb bCpNBW,span,class,sc-695978ca-0 dWCwnF,div,class,src__Box-sc-1sbtrzs-0 sc-6372957b-2 kiJKPb bCpNBW,h1,class,sc-44eb69bd-0 bjtrde sc-ce6d21ea-0 ewUysp
https://www.westfalia.de/shops/werkzeug/akku_werkzeug/arbeiten_ohne_kabel/akku_schlagbohrschrauber/1512937-makita-akku-schlagbohrschrauber-hp457dwe10-18-volt-2-gang-li-ion-mit-74-teiligem-zubehoer.htm,div,class,basicContainerBordered savingsInCurrency,span,class,fontExtraBold,div,class,productIntro,span,class,js_produktName
https://www.weltbild.de/artikel/buch/schreib-oder-stirb_36450143-1?ln=S2F0ZWdvcmllfEJ1Y2hiZXN0c2VsbGVyIHZvbiBtb3JnZW4gLSBqZXR6dCBCw7xjaGVyIHZvcmJlc3RlbGxlbiF8L2J1ZWNoZXIvYnVjaGJlc3RzZWxsZXItdm9uLW1vcmdlbg==,div,class,pricing pricebox,span,class,price,div,class,pds-headline,div,class,title
https://www.wayfair.de/moebel/pdp/mercury-row-esszimmerstuhl-set-kawakami-d002906534.html,div,class,SFPrice,span,class,pl-Box--mr-1 pl-Box--pr-1 pl-Price-V2 pl-Price-V2--5000 pl-Box--baseColor,header,class,ProductDetailInfoBlock-header,h1,class,pl-Heading pl-Heading--pageTitle pl-Box--defaultColor
https://www.walbusch.de/extraglatt-hemd-fiesta/p/15-6108-9?ff_pos=2&ff_page=1&productId=15-6108-9&ff_origPos=21&cId=01.02&text=Freizeit-Hemden&choice=eyJjb2xvciI6IkRydWNrIFBhaXNsZXkiLCJnYWxsZXJ5Q2hvaWNlIjowfQ%3D%3D,div,class,productDetailPrice js-initialized,span,class,js-article-price,div,class,area area__productDetailName productDetailName js-initialized,h1,class,productDetailName__text js-productDetailNameText
https://www.voelkner.de/products/20914/Peltor-3M-OPTIME-III-H540A-Kapselgehoerschutz-35-dB-1St..html?itm_source=main&itm_medium=591&itm_campaign=20914,div,class,product__price--large,div,class,product__price__wrapper,div,class,cell product__title,h1,id,js_heading
https://www.thomann.de/de/native_instruments_traktor_s3.htm,div,class,price-wrapper,div,class,price,div,class,fx-content-product__main product-title,h1,class,fx-product-headline product-title__title
https://www.thalia.de/shop/home/artikeldetails/A1059176160,div,class,preis,span,class,element-headline-medium-strong verkaufspreis,section,class,basis-informationen,h1,class,element-headline-large titel
https://www.tchibo.de/regenparka-friesennerz-p402011454.html,div,class,c-tp-price c-tp-price--baseline c-tp-price--150,div,class,c-tp-price-currentprice,div,class,m-tp-base-column m-tp-base-column--first m-tp-base-column--full,h1,class,c-tp-headline c-tp-headline--80
https://www.sportscheck.com/salomon/salomon-x-ultra-4-wanderschuhe-herren-p389536880d0bf7/color-quiet-shade-black-qshade/,div,class,product,link,itemprop,price,div,class,small-10 columns,span,class,product__desc
https://www.soliver.de/p/hoodie-mit-strukturmuster-2109624.html?vaid=variantColor&vav=03W2&cgid=me_ko_pullover,div,class,m-buyBox__prices,span,class,o-copy o-copy--sizeS o-copy--bold m-buyBox__price ta_price,header,class,m-buyBox__header,h1,class,o-copy o-copy--sizeM m-buyBox__title ta_shortDescription
https://www.shop-apotheke.com/arzneimittel/8106536/labnovation-sars-cov-2-antigen-schnelltest-10-stueck.htm,div,class,m-ProductVariant m-ProductVariant--main,span,class,u-no-wrap a-Price,div,class,l-grid__item,h1,class,u-no-margin u-margin--right l-flex__primary o-ProductTemplate__heading
https://www.saturn.de/de/product/_microsoft-surface-laptop-go-2689645.html,div,display,StyledBox-sc-1vld6r2-0 goTwsP,span,class,ScreenreaderTextSpan-sc-11hj9ix-0 kZCfsu,div,class,StyledCell-sc-1wk5bje-0 czucjO StyledPdpHeaderCell-sc-19sjv8w-3 iTOkvB,h1,class,BaseTypo-sc-1jga2g7-0 izkVco StyledInfoTypo-sc-1jga2g7-1 hrLodq
https://shop.rewe.de/p/chiquita-banane/7230923,div,class,pdpr-Price pdpr-Price--Details,mark,itemprop,price,div,class,pdpr-ProductInformation__Inner,h1,class,pdpr-Title
https://www.reuter.de/villeroy-boch-subway-20-waschtisch-mit-waschtischunterschrank-und-my-view-14-spiegelschrank-b-80-h-58-t-47-cm-a888764.php,div,class,columns small-12 large-expand large-order-2 text-right,span,class,packaging-price,div,class,small-12 medium-6 columns,h1,class,product-title
